NYS PFI,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider SSA County Code,Provider County Name,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,RN Staffing Rating,RN Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 2 Health Deficiency Score,Rating Cycle 2 Number of Health Revisits,Rating Cycle 2 Health Revisit Score,Rating Cycle 2 Total Health Score,Rating Cycle 3 Standard Health Survey Date,Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 3 Number of Standard Health Deficiencies,Rating Cycle 3 Number of Complaint Health Deficiencies,Rating Cycle 3 Health Deficiency Score,Rating Cycle 3 Number of Health Revisits,Rating Cycle 3 Health Revisit Score,Rating Cycle 3 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
1381,335174,COBBLE HILL HEALTH CENTER INC,380 HENRY STREET,BROOKLYN,NY,11201,7188556789,331,Kings,Non profit - Corporation,364,257,,Medicare and Medicaid,N,COBBLE HILL HEALTH CENTER INC.,1/1/67,N,,N,N,N,Resident,Yes,3,,2,,5,,5,,5,,2,,2,,,,2.59988,0.50609,0.65243,1.15852,3.7584,0.04422,2.05126,0.87128,0.50729,3.42983,2.6148,0.43035,0.50684,3.50436,5/14/19,11,11,0,56,1,0,56,7/28/17,1,0,1,4,0,0,4,4/29/16,1,1,0,8,1,0,8,30.667,1,0,0,0,0,0,0,"380 HENRY STREET,BROOKLYN,NY,11201",2/1/21
1600,335063,COLER REHABILITATION AND NURSING CARE CENTER,900 MAIN ST,ROOSEVELT ISLAND,NY,10044,2128486000,420,New York,Government - City,815,505,,Medicare and Medicaid,N,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,7/1/70,N,,N,N,N,Both,Yes,4,,2,,5,,5,,4,,5,,5,,,,2.89692,0.58971,1.01755,1.60726,4.50419,0.0436,2.06805,0.73997,0.37561,3.18364,2.8899,0.59043,1.06759,4.5245,11/20/19,10,7,2,52,1,0,52,2/28/18,3,3,0,12,1,0,12,11/23/16,0,0,0,0,0,0,0,30,0,2,3,0,0,0,0,"900 MAIN ST,ROOSEVELT ISLAND,NY,10044",2/1/21
1404,335538,CONCORD NURSING AND REHABILITATION CENTER,300 MADISON STREET,BROOKLYN,NY,11216,7186367500,331,Kings,Non profit - Corporation,140,130.4,,Medicare and Medicaid,N,"CONCORD NURSING HOME, INC.",7/1/76,N,,N,N,N,Both,Yes,2,,1,,5,,5,,5,,2,,2,,,,1.94431,0.73127,0.68084,1.4121,3.35641,0.12557,2.20911,0.96602,0.76681,3.94194,1.81574,0.56083,0.3499,2.72297,10/21/19,8,6,4,40,1,0,40,8/16/18,8,8,0,64,1,0,64,1/27/17,0,0,0,0,0,0,0,41.333,1,2,2,0,0,0,0,"300 MADISON STREET,BROOKLYN,NY,11216",2/1/21
1253,335493,CONCOURSE REHABILITATION AND NURSING CENTER INC,1072 GRAND CONCOURSE,BRONX,NY,10456,7186814000,20,Bronx,For profit - Corporation,240,197.4,,Medicare and Medicaid,N,CONCOURSE REHAB & NURSING CTR INC,4/1/76,N,,N,N,N,Resident,Yes,4,,3,,5,,5,,4,,,12,,12,6,6,,,,,,,,,,,,,,,8/5/19,5,5,0,16,2,8,24,9/18/17,3,3,0,12,1,0,12,6/30/16,2,1,1,8,1,0,8,17.333,0,1,0,1,650,0,1,"1072 GRAND CONCOURSE,BRONX,NY,10456",2/1/21
1407,335609,CROWN HEIGHTS CENTER FOR NURSING AND REHAB,810 20 ST MARKS AVENUE,BROOKLYN,NY,11213,7184677300,331,Kings,For profit - Corporation,295,231.3,,Medicare and Medicaid,N,"ST. MARKS BROOKLYN ASSOCIATES, LLC",6/16/77,N,,N,N,N,Resident,Yes,3,,2,,5,,5,,5,,2,,2,,,,2.3429,0.64692,0.63446,1.28138,3.62427,0.10641,2.2174,0.93799,0.51156,3.66695,2.1798,0.51097,0.48876,3.16078,10/28/20,5,4,1,20,1,0,20,1/31/19,5,1,4,36,1,0,36,3/30/17,9,9,0,44,1,0,44,29.333,1,2,0,1,7036,0,1,"810 20 ST MARKS AVENUE,BROOKLYN,NY,11213",2/1/21
1709,335446,CYPRESS GARDEN CENTER FOR NURSING AND REHAB,139 66 35TH AVENUE,FLUSHING,NY,11354,7189615300,590,Queens,For profit - Corporation,278,189.2,,Medicare and Medicaid,N,KPRH IV OPERATIONS LLC,7/1/75,N,,N,N,N,Both,Yes,4,,3,,5,,5,,4,,2,,3,,,,2.33547,0.24862,0.83411,1.08273,3.41821,0.08268,2.21426,0.98734,0.54997,3.75157,2.17597,0.18656,0.59769,2.91382,9/23/19,6,6,0,40,1,0,40,12/20/17,2,2,0,8,1,0,8,8/26/16,0,0,0,0,0,0,0,22.667,0,0,0,0,0,0,0,"139 66 35TH AVENUE,FLUSHING,NY,11354",2/1/21
1576,335648,DITMAS PARK CARE CENTER,2107 DITMAS AVENUE,BROOKLYN,NY,11226,7184628100,331,Kings,For profit - Corporation,200,136.1,,Medicare and Medicaid,N,DITMAS PARK REHABILITATION & CARE CENTER LLC,11/23/81,N,,N,N,N,Resident,Yes,5,,4,,5,,5,,5,,3,,3,,,,2.3061,0.60456,0.83927,1.44384,3.74994,0.12123,2.26174,0.89206,0.53863,3.69243,2.1035,0.5021,0.61405,3.2478,8/12/19,1,1,0,4,1,0,4,11/10/17,2,2,0,12,1,0,12,8/11/16,2,2,0,12,1,0,12,8,0,0,0,0,0,0,0,"2107 DITMAS AVENUE,BROOKLYN,NY,11226",2/1/21
1408,335625,DOWNTOWN BROOKLYN NURSING & REHABILITATION CENTER,520 PROSPECT PLACE,BROOKLYN,NY,11238,7186361000,331,Kings,For profit - Corporation,320,260.8,,Medicare and Medicaid,N,PROSPECT ACQUISITION I LLC,6/1/78,N,,N,N,N,Both,Yes,5,,5,,3,,3,,4,,2,,3,,,,2.0142,0.28043,0.75188,1.0323,3.0465,0.06256,2.19458,0.89035,0.51438,3.59931,1.89346,0.23335,0.57604,2.70683,4/22/19,0,0,0,0,0,0,0,6/20/17,0,0,0,0,0,0,0,3/31/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"520 PROSPECT PLACE,BROOKLYN,NY,11238",2/1/21
7279,335805,DR SUSAN SMITH MCKINNEY NURSING AND REHAB CENTER,594 ALBANY AVENUE,BROOKLYN,NY,11203,7182457000,331,Kings,Government - City/county,320,318.3,,Medicare and Medicaid,N,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,12/8/97,N,,N,N,N,Both,Yes,3,,2,,4,,5,,3,,5,,5,,,,2.67755,0.71519,0.94954,1.66473,4.34228,0.05518,2.10388,0.74612,0.34756,3.19757,2.62556,0.71017,1.07663,4.34286,12/7/20,0,0,0,0,0,0,0,2/11/19,9,9,0,84,1,0,84,4/6/17,0,0,0,0,0,0,0,28,0,0,0,1,52390,0,1,"594 ALBANY AVENUE,BROOKLYN,NY,11203",2/1/21
1705,335416,DRY HARBOR NURSING HOME,61 35 DRY HARBOR ROAD,MIDDLE VILLAGE,NY,11379,7185654200,590,Queens,For profit - Corporation,360,254.3,,Medicare and Medicaid,N,DRY HARBOR HRF INC,6/1/74,N,,N,N,N,Resident,Yes,5,,4,,5,,4,,5,,3,,4,,,,2.47791,0.40139,0.86688,1.26827,3.74619,0.08141,2.11891,0.81737,0.45884,3.39512,2.41257,0.36383,0.74454,3.52867,1/31/19,4,3,0,12,1,0,12,4/13/17,1,1,0,4,1,0,4,2/12/16,4,4,0,16,1,0,16,10,0,0,1,0,0,0,0,"61 35 DRY HARBOR ROAD,MIDDLE VILLAGE,NY,11379",2/1/21
1277,335723,EAST HAVEN NURSING & REHABILITATION CENTER,2323  EASTCHESTER ROAD,BRONX,NY,10469,7186552848,20,Bronx,For profit - Corporation,200,164.2,,Medicare and Medicaid,N,EAST HAVEN NURSING AND REHABILITATION CENTER,5/1/92,N,,N,N,N,Both,Yes,2,,2,,4,,4,,3,,2,,2,,,,2.18448,0.50012,0.46235,0.96247,3.14695,0.13827,1.9585,0.85574,0.47394,3.28818,2.30107,0.43299,0.38445,3.06064,2/19/20,9,9,0,56,1,0,56,6/27/18,0,0,0,0,0,0,0,1/10/17,5,5,0,28,1,0,28,32.667,0,0,0,0,0,0,0,"2323  EASTCHESTER ROAD,BRONX,NY,10469",2/1/21
1231,335214,EASTCHESTER REHABILITATION AND HEALTH CARE CENTER,2700 EASTCHESTER ROAD,BRONX,NY,10469,7182315550,20,Bronx,For profit - Partnership,200,141.7,,Medicare and Medicaid,N,EASTCHESTER REHABILITATION AND HEALTH CARE CENTER LLC,3/31/67,N,,N,N,N,Both,Yes,3,,3,,5,,5,,5,,1,,1,,,,2.45672,0.83331,0.6406,1.47392,3.93064,0.07426,2.15762,0.94232,0.85313,3.95306,2.34902,0.65517,0.29591,3.17985,3/22/19,1,1,0,4,1,0,4,5/26/17,7,7,0,32,1,0,32,3/16/16,6,3,3,24,1,0,24,16.667,0,2,0,0,0,0,0,"2700 EASTCHESTER ROAD,BRONX,NY,10469",2/1/21
1748,335332,EGER HEALTH CARE AND REHABILITATION CENTER,140 MEISNER AVENUE,STATEN ISLAND,NY,10306,7189791800,610,Richmond,Non profit - Corporation,378,310,,Medicare and Medicaid,N,EGER HEALTH CARE AND REHABILITATION CENTER,9/1/71,N,,N,N,N,Resident,Yes,5,,4,,5,,5,,5,,4,,4,,,,2.68843,0.34936,1.00825,1.35761,4.04604,0.09578,2.22071,0.76074,0.39643,3.37789,2.49754,0.34023,1.00228,3.83056,2/19/20,1,1,0,8,1,0,8,6/18/18,0,0,0,0,0,0,0,12/12/16,5,5,0,20,1,0,20,7.333,0,0,0,0,0,0,0,"140 MEISNER AVENUE,STATEN ISLAND,NY,10306",2/1/21
7745,335814,ELMHURST CARE CENTER INC,100 17  23RD AVENUE,EAST ELMHURST,NY,11369,7182058100,590,Queens,For profit - Corporation,240,163.2,,Medicare and Medicaid,N,"ELMHURST CARE CENTER, INC.",4/20/99,N,,N,N,N,Resident,Yes,4,,4,,4,,5,,4,,3,,3,,,,2.31354,0.61376,0.63661,1.25037,3.5639,0.09532,2.20163,0.82656,0.39885,3.42704,2.1679,0.55014,0.629,3.32571,12/5/19,3,3,0,12,1,0,12,3/28/18,1,1,0,4,1,0,4,10/24/16,7,7,0,32,1,0,32,12.667,0,0,0,0,0,0,0,"100 17  23RD AVENUE,EAST ELMHURST,NY,11369",2/1/21
1678,335146,FAIRVIEW NURSING CARE CENTER INC,69 70 GRAND CENTRAL PARKWAY,FOREST HILLS,NY,11375,7182634600,590,Queens,For profit - Corporation,200,191.1,,Medicare and Medicaid,N,FAIRVIEW NURSING CARE  CENTER INC,9/1/68,N,,N,N,N,Both,Yes,4,,3,,5,,5,,4,,2,,3,,,,2.08082,0.42717,0.98094,1.40811,3.48893,0.07089,2.35427,1.04212,0.53094,3.92734,1.82341,0.30369,0.72809,2.841,4/5/19,8,6,2,40,1,0,40,9/8/17,1,1,0,4,1,0,4,6/17/16,0,0,0,0,0,0,0,21.333,0,2,2,0,0,0,0,"69 70 GRAND CENTRAL PARKWAY,FOREST HILLS,NY,11375",2/1/21
1679,335044,FAR ROCKAWAY CENTER FOR REHABILITATION AND NURSING,13 11 VIRGINA ST,FAR ROCKAWAY,NY,11691,7183272909,590,Queens,For profit - Partnership,100,91.6,,Medicare and Medicaid,N,ROCKAWAY OPERATIONS ASSOCIATES LLC,4/1/73,N,,N,N,N,Resident,Yes,2,,2,,3,,5,,1,,,12,,12,,,1.51022,0.6921,0.30944,1.00154,2.51176,0.21887,1.97216,0.80107,0.42975,3.20298,1.57981,0.64009,0.28376,2.50785,9/23/19,8,8,0,52,1,0,52,1/12/18,5,5,0,20,1,0,20,10/6/16,8,8,0,36,2,18,54,41.667,0,0,0,0,0,0,0,"13 11 VIRGINA ST,FAR ROCKAWAY,NY,11691",2/1/21
1233,335248,FIELDSTON LODGE CARE CENTER,666 KAPPOCK STREET,RIVERDALE,NY,10463,7185491203,20,Bronx,For profit - Corporation,200,148.8,,Medicare and Medicaid,N,FIELDSTON LODGE CARE CENTER,1/3/68,N,,N,N,N,Both,Yes,2,,1,,5,,5,,5,,3,,3,,,,2.30183,0.60525,1.07448,1.67973,3.98156,0.12139,2.23897,1.00641,0.73322,3.97859,2.12096,0.44556,0.5775,3.20038,7/16/19,9,9,0,92,1,0,92,10/25/17,6,6,0,24,1,0,24,7/29/16,5,3,2,24,1,0,24,58,0,1,0,0,0,0,0,"666 KAPPOCK STREET,RIVERDALE,NY,10463",2/1/21
 ,335864,FLUSHING HOSPITAL MEDICAL CENTER T C U,45TH AVENUE AND PARSONS BOULEVARD,FLUSHING,NY,11355,7182066595,590,Queens,Non profit - Corporation,6,1.3,,Medicare,Y,Legal Business Name Not Available,8/12/11,N,,N,N,N,Resident,Yes,5,,4,,5,,,2,5,,,12,,12,6,6,,,,,,,,,,,,,,,11/26/19,0,0,0,0,0,0,0,8/3/18,4,4,0,24,1,0,24,6/12/17,0,0,0,0,0,0,0,8,0,0,,0,0,0,0,"45TH AVENUE AND PARSONS BOULEVARD,FLUSHING,NY,11355",2/1/21
1258,335659,FORDHAM NURSING AND REHABILITATION CENTER,2678 KINGSBRIDGE TERRACE,BRONX,NY,10463,7187965800,20,Bronx,For profit - Corporation,240,177.7,,Medicare and Medicaid,N,TERRACE ACQUISITION II LLC,10/29/82,N,,N,N,N,Both,Yes,3,,3,,4,,5,,3,,2,,2,,,,1.73616,0.50612,0.43121,0.93733,2.67349,0.05354,1.83031,0.79334,0.4251,3.04875,1.95691,0.47265,0.39975,2.80436,12/12/19,3,3,0,12,1,0,12,2/2/18,6,6,0,24,1,0,24,9/23/16,4,0,4,16,0,0,16,16.667,0,1,0,0,0,0,0,"2678 KINGSBRIDGE TERRACE,BRONX,NY,10463",2/1/21
1681,335139,FOREST HILLS CARE CENTER,71 44 YELLOWSTONE BLVD,FOREST HILLS,NY,11375,7185444300,590,Queens,For profit - Partnership,100,76.9,,Medicare and Medicaid,N,FOREST HILLS CARE CENTER,11/18/68,N,,N,N,N,Resident,Yes,4,,4,,4,,4,,4,,2,,2,,,,2.17682,0.69439,0.59456,1.28896,3.46578,0.06508,2.18188,0.8875,0.53797,3.60734,2.05826,0.57967,0.43555,3.0725,5/2/19,0,0,0,0,0,0,0,12/29/17,1,1,0,20,1,0,20,9/2/16,3,3,0,12,1,0,12,8.667,0,0,0,0,0,0,0,"71 44 YELLOWSTONE BLVD,FOREST HILLS,NY,11375",2/1/21
1682,335310,FOREST VIEW CENTER FOR REHABILITATION & NURSING,71 20 110TH STREET,FOREST HILLS,NY,11375,7187933200,590,Queens,For profit - Corporation,160,127.9,,Medicare and Medicaid,N,"FOREST VIEW NURSING HOME, INC.",6/4/71,N,,N,N,N,Resident,Yes,5,,4,,5,,5,,4,,3,,3,,,,2.50535,0.7003,0.74603,1.44632,3.95168,0.10631,2.17986,0.81368,0.44855,3.44209,2.37108,0.63764,0.65544,3.67144,7/12/19,3,3,0,12,1,0,12,11/16/17,0,0,0,0,0,0,0,8/19/16,9,9,0,40,1,0,40,12.667,0,0,0,0,0,0,0,"71 20 110TH STREET,FOREST HILLS,NY,11375",2/1/21
1585,335257,FORT TRYON CENTER FOR REHABILITATION AND NURSING,801 W 190TH ST,NEW YORK,NY,10040,2125436400,420,New York,For profit - Individual,205,181,,Medicare and Medicaid,N,FORT TRYON REHABILITATION & HEALTH CARE FACILITY LLC,3/17/68,N,,N,N,N,Resident,Yes,2,,1,,5,,5,,5,,2,,2,,,,1.93432,0.58992,0.62423,1.21415,3.14847,0.14085,2.13055,0.98965,0.61865,3.73885,1.87302,0.44163,0.39764,2.69302,6/18/19,11,5,4,84,1,0,84,8/25/17,2,1,1,8,1,0,8,6/2/16,2,2,0,8,1,0,8,46,2,2,6,0,0,0,0,"801 W 190TH ST,NEW YORK,NY,10040",2/1/21
3227,335673,FOUR SEASONS NURSING AND REHABILITATION CENTER,1555 ROCKAWAY PARKWAY,BROOKLYN,NY,11236,7189276300,331,Kings,For profit - Limited Liability company,270,200.3,,Medicare and Medicaid,N,FSNR SNF LLC,6/1/84,N,,N,N,N,Both,Yes,5,,5,,5,,5,,5,,2,,2,,,,2.16905,0.64929,0.7316,1.38089,3.54993,0.08827,2.28448,1.04505,0.65854,3.98808,1.95879,0.4603,0.4378,2.84665,6/3/19,1,1,0,4,1,0,4,9/8/17,1,1,0,4,1,0,4,6/23/16,2,2,0,12,1,0,12,5.333,0,0,0,1,650,0,1,"1555 ROCKAWAY PARKWAY,BROOKLYN,NY,11236",2/1/21
1708,335426,FRANKLIN CENTER FOR REHABILITATION AND NURSING,142 27 FRANKLIN AVENUE,FLUSHING,NY,11355,7186703400,590,Queens,For profit - Individual,320,237.8,,Medicare and Medicaid,N,"NEW FRANKLIN REHABILIATION AND HEALTH CARE FACILITY, LLC",12/1/74,N,,Y,N,N,Both,Yes,3,,2,,5,,5,,5,,2,,2,,,,2.16299,0.64712,0.62924,1.27637,3.43936,0.11281,2.3536,0.99975,0.63203,3.98538,1.89595,0.47956,0.39235,2.75985,7/23/19,3,3,0,36,2,18,54,11/15/17,5,5,0,24,1,0,24,8/12/16,2,2,0,8,1,0,8,36.333,0,0,0,1,59417,0,1,"142 27 FRANKLIN AVENUE,FLUSHING,NY,11355",2/1/21
1226,335079,GOLD CREST CARE CENTER,2316 BRUNER AVENUE,BRONX,NY,10469,7188826400,20,Bronx,For profit - Corporation,175,145.1,,Medicare and Medicaid,N,GOLD CREST CARE CENTER INC.,1/1/67,N,,N,N,N,Resident,Yes,4,,5,,4,,4,,5,,1,,1,,,,1.9817,0.65145,0.41773,1.06918,3.05088,0.05974,2.06577,0.87653,0.54322,3.48552,1.97907,0.55063,0.30305,2.79921,10/30/19,1,1,0,4,1,0,4,2/7/18,0,0,0,0,0,0,0,9/30/16,1,0,1,4,0,0,4,2.667,1,0,0,0,0,0,0,"2316 BRUNER AVENUE,BRONX,NY,10469",2/1/21
1757,335502,GOLDEN GATE REHABILITATION & HEALTH CARE CENTER,191 BRADLEY AVE,STATEN ISLAND,NY,10314,7186988800,610,Richmond,For profit - Corporation,238,182.9,,Medicare and Medicaid,N,GOLDEN GATE REHABILITATION & HEALTH CARE CENTER LLC,5/1/76,N,,N,N,N,Both,Yes,4,,4,,4,,5,,3,,2,,2,,,,1.95266,0.41684,0.51363,0.93047,2.88313,0.08453,2.11386,0.81807,0.47999,3.41192,1.90571,0.37751,0.42171,2.70236,6/27/19,5,5,0,20,1,0,20,8/31/17,1,1,0,4,1,0,4,6/10/16,1,1,0,4,1,0,4,12,0,0,0,0,0,0,0,"191 BRADLEY AVE,STATEN ISLAND,NY,10314",2/1/21
856,335744,GRAND MANOR NURSING & REHABILITATION CENTER,700 WHITE PLAINS ROAD,BRONX,NY,10473,7185188892,20,Bronx,For profit - Corporation,240,191.5,,Medicare and Medicaid,N,GRAND MANOR HEALTH RELATED FACILITY INC,3/10/92,N,,N,N,N,Resident,Yes,2,,2,,4,,5,,3,,2,,2,,,,1.38492,0.38186,0.40656,0.78842,2.17334,0.07532,1.88645,0.69239,0.35934,2.93818,1.51456,0.4086,0.44587,2.36552,8/30/19,8,7,0,36,1,0,36,10/12/17,1,0,1,4,0,0,4,7/15/16,14,11,3,76,1,0,76,32,0,2,1,1,975,0,1,"700 WHITE PLAINS ROAD,BRONX,NY,10473",2/1/21
4285,335710,HAMILTON PARK NURSING AND REHABILITATION CENTER,691 92ND STREET,BROOKLYN,NY,11228,7185671820,331,Kings,For profit - Partnership,200,170.8,,Medicare and Medicaid,N,HAMILTON PARK MULTICARE,6/27/90,N,,N,N,N,Resident,Yes,4,,3,,5,,5,,5,,3,,3,,,,2.34965,0.97453,0.91171,1.88624,4.23588,0.15311,2.16667,0.97845,0.59678,3.7419,2.23726,0.7379,0.60205,3.62017,12/16/19,6,4,2,28,1,0,28,5/1/18,4,4,0,16,1,0,16,11/15/16,4,4,0,16,1,0,16,22,0,1,0,0,0,0,0,"691 92ND STREET,BROOKLYN,NY,11228",2/1/21
1604,335522,"HARLEM CTR FOR NURSING AND REHABILITATION, L L C",30 WEST 138TH STREET,NEW YORK,NY,10037,2126907400,420,New York,For profit - Limited Liability company,200,185,,Medicare and Medicaid,N,HARLEM CENTER FOR NURSING AND REHABILITATION LLC,2/4/76,N,,N,N,N,Both,Yes,3,,2,,5,,5,,5,,2,,2,,,,2.27411,0.75539,0.68652,1.44191,3.71602,0.04918,2.21634,0.91578,0.56928,3.7014,2.11681,0.61112,0.47524,3.21062,2/27/20,8,7,0,48,1,0,48,9/25/18,2,2,0,12,1,0,12,8/8/17,5,4,1,28,1,0,28,32.667,0,1,2,0,0,0,0,"30 WEST 138TH STREET,NEW YORK,NY,10037",2/1/21
3256,335676,"HAVEN MANOR HEALTH CARE CENTER, L L C",1441 GATEWAY BOULEVARD,FAR ROCKAWAY,NY,11691,7184711500,590,Queens,For profit - Partnership,240,188.2,,Medicare and Medicaid,N,HAVEN MANOR HEALTH CARE CENTER LLC,10/1/84,N,,N,N,N,Both,Yes,3,,4,,4,,4,,,2,1,,1,,,,1.12688,0.56418,0.23872,0.8029,1.92978,0.02184,1.77636,0.72743,0.38583,2.88962,1.30874,0.5746,0.24383,2.13573,3/22/19,2,2,0,12,1,0,12,7/11/17,0,0,0,0,0,0,0,4/18/16,2,2,0,8,1,0,8,7.333,0,0,0,0,0,0,0,"1441 GATEWAY BOULEVARD,FAR ROCKAWAY,NY,11691",2/1/21
1361,335656,HAYM SOLOMON HOME FOR THE AGED,2340 CROPSEY AVENUE,BROOKLYN,NY,11214,7183731700,331,Kings,For profit - Partnership,240,185.4,,Medicare and Medicaid,N,"HAYM SALOMON HOME FOR THE AGED, LLC",6/2/82,N,,N,N,N,Both,Yes,3,,2,,5,,5,,5,,2,,2,,,,2.84411,1.03304,0.62251,1.65555,4.49965,0.121,2.26907,0.88862,0.50521,3.6629,2.58586,0.86128,0.48558,3.92855,12/6/19,6,6,0,44,1,0,44,6/8/18,5,5,0,52,1,0,52,11/14/16,0,0,0,0,0,0,0,39.333,0,0,0,1,6893,0,1,"2340 CROPSEY AVENUE,BROOKLYN,NY,11214",2/1/21
1212,335020,HEBREW HOME FOR THE AGED AT RIVERDALE,5901 PALISADE AVENUE,RIVERDALE,NY,10471,7185811000,20,Bronx,Non profit - Corporation,843,567.5,,Medicare and Medicaid,N,HEBREW HOME FOR THE AGED AT RIVERDALE,1/1/67,N,,N,N,N,Both,Yes,3,,2,,5,,5,,5,,2,,3,,,,1.99877,0.32395,0.70192,1.02587,3.02464,0.08366,2.2057,0.81246,0.44991,3.46807,1.86949,0.29541,0.61482,2.7891,8/12/19,11,10,0,48,1,0,48,10/27/17,4,2,2,16,1,0,16,8/2/16,0,0,0,0,0,0,0,29.333,1,1,1,0,0,0,0,"5901 PALISADE AVENUE,RIVERDALE,NY,10471",2/1/21
1601,335092,HENRY J CARTER SKILLED NURSING FACILITY,1752 PARK AVE,MANHATTAN,NY,10035,6466860000,420,New York,Government - City,1389,153.9,,Medicare and Medicaid,Y,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,7/1/70,N,,N,N,N,Both,Yes,5,,5,,5,,5,,,2,3,,3,,,,2.93863,0.951,1.82333,2.77433,5.71297,0.05501,2.38067,1.04701,1.01775,4.44543,2.54655,0.67294,0.70602,4.10984,4/17/19,1,1,0,4,1,0,4,8/25/17,1,1,0,4,1,0,4,5/27/16,2,0,2,8,0,0,8,4.667,2,1,0,0,0,0,0,"1752 PARK AVE,MANHATTAN,NY,10035",2/1/21
4328,335751,HIGHBRIDGE WOODYCREST CENTER,936 WOODYCREST AVENUE,BRONX,NY,10452,7184141157,20,Bronx,For profit - Corporation,90,84,,Medicare and Medicaid,N,YGC AT WOODYCREST LLC,5/22/91,N,,N,N,N,Resident,Yes,5,,4,,5,,5,,,2,3,,4,,,,1.07621,0.75499,0.50407,1.25907,2.33528,0.02396,1.40252,0.58835,0.26785,2.25873,1.58305,0.95072,0.74162,3.30638,12/5/19,4,4,0,16,1,0,16,10/23/18,1,1,0,16,1,0,16,8/31/17,1,1,0,4,1,0,4,14,0,0,0,0,0,0,0,"936 WOODYCREST AVENUE,BRONX,NY,10452",2/1/21
1711,335505,HIGHLAND CARE CENTER,91 31 175TH STREET,JAMAICA,NY,11432,7186576363,590,Queens,For profit - Corporation,320,285.5,,Medicare and Medicaid,N,"HIGHLAND CARE CENTER, INC",5/1/76,N,,N,N,N,Resident,Yes,2,,2,,2,,2,,2,,2,,2,,,,2.14689,0.63614,0.47074,1.10688,3.25377,0.12364,2.09948,0.84672,0.48345,3.42964,2.10962,0.55663,0.38373,3.034,5/13/19,10,8,0,48,1,0,48,8/4/17,0,0,0,0,0,0,0,5/16/16,2,2,0,8,1,0,8,25.333,0,0,2,3,3900,0,3,"91 31 175TH STREET,JAMAICA,NY,11432",2/1/21
